,Translated Tweets
4813,"I was cleaning so I finished my assignment late. I understand, he is a college student. ONLINE. it's like I didn't come from oc class??? when I was in oc class, even though there was class I was cleaning because I was afraid my older brother would scold me. but when he? GIRL TANGINA"
4814,"You have class tomorrow morning, but you're still awake and online like your prof 🤣"
4815,"Worst experience with caffeine, I used to have coffee during Online class in the morning, to energize, then when the class ended or at noon, break time, I got a headache, so I went to sleep because maybe I was just tired or an aftereffect of the caffeine kick. When I wake up I'm more confused"
4816,"Lord, what else do I need to trade so that I can still be accepted by a GE and I can drop 117 huhu love life Lord what is wrong hUHUHU LORD GO ON HUHU THERE ARE 2 F2F EXAMS TAS ONLINE THE CLASS LIKES"
4817,"forda I was surprised earlier, because we had an online class because my classmates were reporting, I was surprised when he suddenly inserted ""just watch sb19"" in their report, forda I was surprised because I was the only one who had a crush on sb19 in our class, it was funny because he was a boy
#SB19"
4818,"👉Do you want to learn how to create quality websites?

➡️ The training lasts 6 weeks
➡️ Held twice a week for 2 and a half hours
➡️ Held online and in the classroom
➡️ Lecturer Noble Cani

Register via:
☎️ 049 785 190
📩 info@bit-academy.com
💬 social networks
#bitacademy https://t.co/7ZWRFpm9PI"
4819,"@zyixing_xo we are still online now, even before the pandemic, we had 6 hours of class. First and last, the psy stat is 6 hrs straight, the other subjects are the same as the subject with 5 units in the previous semesters, the time was divided because the prof couldn't do 5 hrs straight and then online class 🥹"
4820,Only class to 4hours online amputa
4821,"Doh, nawad-ad jud ko’g pag-asa aning online japon nga klase. Hngg went to campus today for better internet connectivity but UP wifi was of no help. I had to load my phone and still data’s so slow, disconnecting me from the meeting numerous times. 

#DoBetterUP"
4822,I like you again Aurora because all my classes are online next week 🥺 but it's too tiring to travel by bus 😭 I'll faint for 6 hours 😭
4823,can UP classes only be online? I miss my younger brother
4824,Your class is online but you're not the same because it's just a cell phone 😊
4825,"I'll just go online all the time, there's no class"
4826,@jiims @jiims ateeee any amount. Just buy a criminal law book so that I can use it in our class even though we are still online. Hello sister and always be careful 💜
4827,"every time I have an online class, mom always wakes me up, she always reminds me like 'get up, don't you have class, bring breakfast to the table' sweet ever mom!!💗🫶🫶"
4828,the class is online but the exam is f2f 🤪🤪🤪
4829,"hahaha is tds online? when my net is weak, there is class hay"
4830,"It's the online class and you don't have a class yet. Happy Birthday, Mama Mary!🙏🏻🥰 #catholic_school_best_moments"
4831,The students are on campus and then the class is online wth hahahahah that's it
4832,I have a class later but my brain is no longer in the online class in tds2
4833,"My class is now TC online class seeing a lot of engineering students. Engineering batchmates/friends, I hope you will show up soon"
4834,crying because the online for tds2 is only tomorrow and I have class plus I'm leaving tomorrow 😢😢😢
4835,"The class time should not pass, even though it is online, there is a lot to do in that subject."
4836,This is my 1st time falling asleep while in class (online) 😭 good thing it's just reporting and I didn't accidentally open the mic or cam hhhahha
4837,"Sayu kay mata at 7:00am, class starts at 9:00, the exam ends first, then submit attendance on the portal absent then push up nasad kapuya online animaxxx!!"
4838,It's a good thing that I was done with the class when it was purely online
4839,"Because of the pandemic- I always have anxiety before going to class, online or f2f- I'm getting tired 🤡💀"
4840,My class ends at 4:00 pm and then I will go home to attend our online class at 5:30 pm. it's tiring to travel 😭
4841,"The f2f class was made online, but he didn't bring us to the meet, there was no one at the meet, I don't know if there was a class or not, maybe later I'll be absent"
4842,"Can you miss the time when you used to be replaced immediately after class, then sit on the computer and dota, then online, classmates and you will be fine."
4843,Perfect manicure 💅 just while in class😂. Perks of online classes
4844,classes are scheduled to start for AY 22-23 but there is no official announcement yet whether f2f or online. HAHAHAHAHAHA
4845,"I'm so tired on wednesday that class was scheduled from the fifth floor, then I went down to take an online class, and then I went to class, I was stuck 🥲"
4846,"It's been a long time since I took a class, it really sucks when I go online :)"
4847,"@xavierverse Hello, I know this table is a bit expensive but I would like to give it to my brother because he needs a sturdy table especially for studying and his classes are mostly online classes, I hope it will be a big help to my brother🥹🙏 https://t.co/DcHPO7bHeM"
4848,I was surprised when there seemed to be a class online😅😅
4849,"E largo only f2f all classes, it's not because quizzes and exams only f2f. I don't want to take classes online because there are many distractions."
4850,"One of the things that is missed when the class or work is face-to-face is when people gather and talk and then suddenly someone farts very stinky. The group will be disbanded and accusations will be made while covering their noses.

Then you can think again about online classes. 😂😂😂"
4851,"Lord Jesus Christ, if our class this Semester is not f2f, I will try an online tutor, will I be able to do it Lord? Help me Lord for sidelining me except for my Loading Business and work 🙏🙏🙏🤞🤞🤞"
4852,"rented a dorm only to not have enough classes because of insufficient slots 😶 tapos apparently, spontaneous at depende sa prof kung f2f or online ang klase for the day hahsh"
4853,My grade 11 students are very active in class even online ✨
4854,"the class is over q aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa I'm getting used to the online class because I can't go to school yet HAHAHAHA nyeta. but it's still progress, so cheers 🥂"
4855,the one who was talking during online class just woke up and you were the only one on the call because which class is it?
4856,"be online, be f2f, I'm sleepy in class"
4857,"f2f in the dorm then the class is online, UPLB Wifi is not working. 🤡 we are still overcome by elem and high school who are almost always in the Classroom. https://t.co/5BxUXhwMn6"
4858,"It would be better if the teacher was teaching, I didn't understand anything in the reports and then there would be quizzes, I was just wasting my time in the online class and then I would suspend another time to take notes and review by myself because I didn't understand anything in class"
4859,You're just nice because I can see you all day even if I can't go online and finish class
4860,"thanks for sir d's vids on youtube because if I don't have class and my family tells me to send them, I just play any video and then they don't answer me immediately because they think I have an online class😭"
4861,"Our class is online only, we will pay the fees 🤡"
4862,"@P4Tproms color silver

I think I should be the winner because unlike other schools, we are still online. It's hard to listen in class especially when the earphones are broken (only one side works). Manifesting is selective"
4863,@Anglclln02 @03_ejp @arjunflores2002 Online class &lt; Kai's birthday HAHAHAHAHHAHA AQ SURVIVED FOUR CLASSES YESTERDAY 🥲👍🏻
